,event_hash,variable,place_hash,name_cleaner_a,name_cleaner_b,rex_match,string_dist_osa
8532,4f7a21e23912c8c9,V1,cb8327cc9a0e091b,01 joro orok,thomsons falls,0,12
20023,dfc9e1ddd0d776f8,V5,eebe2ae4a995cf06,01 kalau,joubert,0,8
20025,dfc9e1ddd0d776f8,V7,c22cff9bef09230a,01 kalau,lesirko,0,8
20022,dfc9e1ddd0d776f8,V4,34c5209a0e7c0ae8,01 kalau,lesirko farm,0,10
20024,dfc9e1ddd0d776f8,V6,c50c348fcdef3562,01 kalau,lorsirkon,0,9
20021,dfc9e1ddd0d776f8,V2,19aeec035fc80b53,01 kalau,lorsirkon farm,0,12
20026,dfc9e1ddd0d776f8,V10,ee4cfc883ab7f941,01 kalau,smith,0,8
14982,98f26f7f6e3f0c67,V2,153eef8411856515,01 magogo,adima saw mill,0,12
14983,98f26f7f6e3f0c67,V4,a9e2317ea444a012,01 magogo,adimasawmill,0,10
1910,0ebf4b24d9fc68e4,V5,0210de4fe22e6437,01 magogo,biazi,0,8
14987,98f26f7f6e3f0c67,V8,ecc26f114b1ea3da,01 magogo,bracken sawmill,0,13
14986,98f26f7f6e3f0c67,V7,d5ebcff401394611,01 magogo,braken,0,8
14984,98f26f7f6e3f0c67,V5,9a7246011f10a0a3,01 magogo,endima sawmills,0,13
12479,7c800805dc18fe54,V9,344c145ab5d55c8a,01 magogo,malawa,0,7
12480,7c800805dc18fe54,V10,7f80ad7e8f6068a3,01 magogo,malewa,0,7
14985,98f26f7f6e3f0c67,V6,f55c039446448dc1,01 magogo,mosop primary school,0,16
14981,98f26f7f6e3f0c67,V1,c35d641996940507,01 magogo,njoro,0,7
1906,0ebf4b24d9fc68e4,V1,d339ecca65b9e5ef,01 magogo,pardoes farm,0,12
13602,89cea76ed2b2e86c,V2,59483aea0ceef124,1 mile east of kagumo forest,kagumo,0,22
13603,89cea76ed2b2e86c,V5,9965517d288fda70,1 mile east of kagumo forest,kamuiru,0,24
13605,89cea76ed2b2e86c,V8,5debc00893cc2a48,1 mile east of kagumo forest,mutira,0,25
13604,89cea76ed2b2e86c,V6,96472c4c8942988d,1 mile east of kagumo forest,mutira mission,0,24
4065,2147b8e7a217cccc,V7,5df627332aad5093,1 mile nr of njukini,geturi,0,17
4064,2147b8e7a217cccc,V6,c631b951a4a943ee,1 mile nr of njukini,gichangai,0,17
4062,2147b8e7a217cccc,V4,058f89a1bb7fbb45,1 mile nr of njukini,kathakwa,0,19
4060,2147b8e7a217cccc,V2,376db966d5c847eb,1 mile nr of njukini,kii river,0,17
4061,2147b8e7a217cccc,V3,39fc002fc3e49cd4,1 mile nr of njukini,ngandori,0,17
17179,b52f00064ed9a984,V9,f2d39072dd93d75e,1 mile west of barioho,baricu,0,18
17177,b52f00064ed9a984,V6,16cab08e63403f2c,1 mile west of barioho,thiguku,0,21
21848,fed6bb62e0610cf1,V9,f2d39072dd93d75e,1 mile wof bariaho,baricu,0,14
21846,fed6bb62e0610cf1,V6,16cab08e63403f2c,1 mile wof bariaho,thiguku,0,17
9133,559b261d07e4607c,V9,a31fef239c66446f,25 miles wloc12 murungaini,gakira,0,23
9132,559b261d07e4607c,V8,7dc2c0630553644d,25 miles wloc12 murungaini,iyego,0,23
9134,559b261d07e4607c,V10,f37e8b44856b95b7,25 miles wloc12 murungaini,kangema,0,23
9130,559b261d07e4607c,V3,cdcf19fe9f3a36d5,25 miles wloc12 murungaini,karuri,0,23
1283,0aa4fab9f59a3e8c,V5,adb1603dff6e5a70,3 miles south of kutus,gutu,0,19
1279,0aa4fab9f59a3e8c,V1,de0c725bf263462d,3 miles south of kutus,ketugoya,0,19
1286,0aa4fab9f59a3e8c,V9,134d112789a14916,3 miles south of kutus,kutu,0,18
1284,0aa4fab9f59a3e8c,V6,cc0d9b7e5de2d4c6,3 miles south of kutus,kutus,0,17
1281,0aa4fab9f59a3e8c,V3,84d0f12c42ca00fc,3 miles south of kutus,mucakuthi,0,17
1282,0aa4fab9f59a3e8c,V4,f806888569edf7c0,3 miles south of kutus,rotui,0,19
1285,0aa4fab9f59a3e8c,V8,1ca5417c532cd9ad,3 miles south of kutus,rutui,0,19
11757,74591093501a8d8d,V5,63e889e9fd26592c,5 miles r of chuka,hoppens farm mweiga,0,15
11761,74591093501a8d8d,V9,66ef4d2fd0b8fa76,5 miles r of chuka,kiambogo farm,0,15
11759,74591093501a8d8d,V7,949fd229667f212c,5 miles r of chuka,kiruri,0,15
11758,74591093501a8d8d,V6,bf3160882f5d04c0,5 miles r of chuka,mweign,0,16
11755,74591093501a8d8d,V2,e596618581aedf5a,5 miles r of chuka,samaki farm,0,15
11762,74591093501a8d8d,V10,8d26e9a3b21e26f3,5 miles r of chuka,the ark,0,15
11760,74591093501a8d8d,V8,836d8b9764018827,5 miles r of chuka,wandares track,0,14
11756,74591093501a8d8d,V4,793b3884641d7018,5 miles r of chuka,wandarestrack,0,14
6717,3c515f6b121b6e80,V7,91710c8608d0929c,5 miles south of kagio,kagio market,0,18
6715,3c515f6b121b6e80,V2,06c738fbdb06699c,5 miles south of kagio,kangaru,0,21
6716,3c515f6b121b6e80,V5,e99e9c216bdade05,5 miles south of kagio,kinyaga,0,19
19979,df67d0fde20de093,V3,3674372fd10eea96,7 kar lines,ahooks farm,0,11
19978,df67d0fde20de093,V2,c9a97c1c37d3c368,7 kar lines,flagstaff house,0,12
19980,df67d0fde20de093,V4,c77dbcec3978be12,7 kar lines,laikipia army base,0,14
19981,df67d0fde20de093,V5,3fcaadd7c58bcdc8,7 kar lines,liki north,0,9
19984,df67d0fde20de093,V10,e6dfe00c3cfbb068,7 kar lines,likinorth,0,10
19983,df67d0fde20de093,V9,b67e968c77a6976b,7 kar lines,mawingo hotel,0,11
19982,df67d0fde20de093,V8,b84ec54ce60cae47,7 kar lines,rhooks farm,0,11
7833,48c951084a885073,V6,2db8b6f6fd0411d8,8 miles from sianna,mount esakut trl,0,17
7831,48c951084a885073,V3,b927a3dcc9de1167,8 miles from sianna,nakuru,0,18
7829,48c951084a885073,V1,f5dcff2527aa2bb6,8 miles from sianna,ndaragu,0,17
7830,48c951084a885073,V2,09afa94a4795ba08,8 miles from sianna,ngong,0,17
7835,48c951084a885073,V9,1ccf50e7d84641ba,8 miles from sianna,ngong hills circuit,0,17
7836,48c951084a885073,V10,2ed1f873bcd0616a,8 miles from sianna,nkeekonyoike,0,16
7832,48c951084a885073,V4,9e00ceab9b1f8ee7,8 miles from sianna,oltepesi,0,16
7834,48c951084a885073,V7,4395aeac2e966731,8 miles from sianna,saigeri,0,15
8945,5386ef17afdaae33,V9,8f70efb853782117,aaggett,barguret,0,5
8944,5386ef17afdaae33,V8,e0b5fe980d6aac16,aaggett,burguret,0,6
8942,5386ef17afdaae33,V6,d28ce300f8f25f49,aaggett,elephant bridge,0,14
8943,5386ef17afdaae33,V7,fb62e8730d6fd7d1,aaggett,mpalafarm,0,8
8939,5386ef17afdaae33,V2,7f61026e2769d83b,aaggett,ol pejeta lodge,0,13
8941,5386ef17afdaae33,V5,36494e1c5c7813bc,aaggett,rongai,0,6
8940,5386ef17afdaae33,V3,d0fde38e8b797c43,aaggett,ronkai,0,7
2686,15c51b5c52b24e6f,V3,ef3c79d283b455af,aberdar,bamboo hill,0,9
2685,15c51b5c52b24e6f,V2,837a1fefd9ecb9c8,aberdar,bamboohill,0,8
2689,15c51b5c52b24e6f,V10,8b0c5d081e1ccde1,aberdar,beacon hill,0,10
21243,f43e412eaaa213ed,V4,b6f61d4b07835d29,aberdar,enderois,0,6
21244,f43e412eaaa213ed,V5,0bc272ef11e452b5,aberdar,ilariak,0,5
21246,f43e412eaaa213ed,V9,8ec613769d57c592,aberdar,laikipia,0,7
21245,f43e412eaaa213ed,V8,8667f7db8e64d332,aberdar,laria,0,5
21526,f930eb40c02bf140,V4,feef81649b557221,aberdar,mairo ikumi primary,0,15
21242,f43e412eaaa213ed,V2,56c1b41b574858bf,aberdar,melwa ranch,0,9
21241,f43e412eaaa213ed,V1,6af6b1f196abe1b3,aberdar,melwaranch,0,8
21525,f930eb40c02bf140,V3,4ef7d7166bb75745,aberdar,morijo,0,6
21247,f43e412eaaa213ed,V10,cff16b357dbae31e,aberdar,muhutetu,0,8
2688,15c51b5c52b24e6f,V7,05b80f3f18031ad5,aberdar,sentry hill,0,10
2687,15c51b5c52b24e6f,V6,75ed174f77fdd0d8,aberdar,sentryhill,0,9
21528,f930eb40c02bf140,V6,f4fdf7cf7ab0192a,aberdar,sharpes road,0,8
21527,f930eb40c02bf140,V5,e0fb3acf207633d8,aberdar,sharps road,0,8
21524,f930eb40c02bf140,V2,9bd1b1e33b948de2,aberdar,van bl rk,0,7
21529,f930eb40c02bf140,V10,bf232e6144b38730,aberdar,van deventer,0,9
21523,f930eb40c02bf140,V1,4228f4a6133d2ded,aberdar,wvan blerk,0,8
21266,f46def43ed219dd6,V10,b93e3d4883eadccd,aberdare,fishing lodge,0,12
21263,f46def43ed219dd6,V7,c09a666e787b911a,aberdare,fishing lodge road,0,16
3246,1a5a1718b2f6aad3,V10,df75519dc9b034dd,aberdare,gatheru,0,7
3243,1a5a1718b2f6aad3,V5,4fa6bf324071a10a,aberdare,gitugi,0,8
3244,1a5a1718b2f6aad3,V6,5eba83ef5d185e63,aberdare,ihuririo,0,7
7554,453326cbac7055c5,V10,05e67ca44eb6ed8c,aberdare,kabage sublocation,0,14
7552,453326cbac7055c5,V8,83c8fb79afaab7d7,aberdare,kahigaini,0,8
6366,395eecf3fd38181b,V1,522717442317ad2a,aberdare,kairuthi,0,7
6370,395eecf3fd38181b,V10,b73c7f18505abae0,aberdare,kairuthi snr,0,11
7553,453326cbac7055c5,V9,b9cd3fc3e8aa338f,aberdare,kanyinya,0,8
6369,395eecf3fd38181b,V9,af85c013a30c6393,aberdare,karuthi,0,7
6367,395eecf3fd38181b,V5,dd76c5b72f56cc31,aberdare,kiaruthi,0,7
6368,395eecf3fd38181b,V8,36a76e1d296ce32a,aberdare,konyo,0,8
3242,1a5a1718b2f6aad3,V4,be3aa545143a3d6d,aberdare,mahiga area,0,7
3239,1a5a1718b2f6aad3,V1,e1836c12529ae3c1,aberdare,mosettis gorge,0,11
3245,1a5a1718b2f6aad3,V8,e70d42e89caaed6f,aberdare,mucharage,0,7
7548,453326cbac7055c5,V2,10fbea99a9e77c71,aberdare,muchenage school,0,14
21260,f46def43ed219dd6,V1,6c0fff39513b6950,aberdare,naivasha road,0,10
3241,1a5a1718b2f6aad3,V3,96a3b0486935ca0b,aberdare,op epson,0,8
21264,f46def43ed219dd6,V8,5d9278d59dbbdd39,aberdare,public camp road,0,13
21262,f46def43ed219dd6,V4,269dfd46170ee8a2,aberdare,queens cave,0,8
21261,f46def43ed219dd6,V3,f136a123ecc38fa3,aberdare,queenscave,0,7
7550,453326cbac7055c5,V4,3dd28354666ee8c5,aberdare,south kabage road,0,13
7549,453326cbac7055c5,V3,f22e1bee80482806,aberdare,southkabageroad,0,11
10147,612a24dfe8a911fa,V6,780789e670c6e980,aberdare forest,buffalo,0,12
10145,612a24dfe8a911fa,V1,af6a223950cfd286,aberdare forest,buffalo hill,0,12
10151,612a24dfe8a911fa,V10,71212039e84aedfe,aberdare forest,buffaloe hill,0,12
10148,612a24dfe8a911fa,V7,b90b00e475098935,aberdare forest,bufffalo hill,0,13
10149,612a24dfe8a911fa,V8,2389018b434b3cd2,aberdare forest,faffale,0,12
2927,17c6f4234722a7b6,V2,6cb09786b680e5a2,aberdare forest,hithe road,0,12
2928,17c6f4234722a7b6,V3,37ca8fd1cfd29dd8,aberdare forest,ihithe road,0,12
15892,a455b2d05cb61086,V1,ba0601b5b26a3396,aberdare forest,itha,0,14
17344,b72610e56d37b8dd,V8,accb38595585a082,aberdare forest,kanjwiri,0,13
10146,612a24dfe8a911fa,V2,09d583955845fd05,aberdare forest,kiambogo,0,13
2930,17c6f4234722a7b6,V10,f46bb62092f750f3,aberdare forest,kiandongorp welfare centre,0,19
2929,17c6f4234722a7b6,V9,a7280df5903be8f5,aberdare forest,kiondongore welfare centre,0,18
6724,3c6f3c625abc4294,V9,57a1279dcd9d3083,aberdare forest,milima aberdare,0,13
6722,3c6f3c625abc4294,V7,b60092447f509b51,aberdare forest,mount satima,0,14
10150,612a24dfe8a911fa,V9,4de1e5275db3c217,aberdare forest,nnyeri,0,13
6720,3c6f3c625abc4294,V2,b13223b239849723,aberdare forest,osupuko lerego,0,12
17342,b72610e56d37b8dd,V2,f81d5a1a04c97b5f,aberdare forest,sabugu,0,14
15893,a455b2d05cb61086,V2,e32b4b34b73ca452,aberdare forest,thaara,0,13
15894,a455b2d05cb61086,V9,5370c0b20d89448f,aberdare forest,thatha,0,14
17343,b72610e56d37b8dd,V7,c05b4766f2ed58ce,aberdare forest,the citadel,0,13
2926,17c6f4234722a7b6,V1,af95b68971477bce,aberdare forest,trisha forest,0,7
14627,948483ce1066bf69,V10,ef3c79d283b455af,aberdare forest reserve,bamboo hill,0,19
14626,948483ce1066bf69,V9,837a1fefd9ecb9c8,aberdare forest reserve,bamboohill,0,20
14621,948483ce1066bf69,V2,8b0c5d081e1ccde1,aberdare forest reserve,beacon hill,0,18
14622,948483ce1066bf69,V4,fbd380582da7db98,aberdare forest reserve,beaconhill,0,19
12770,7f649de5fe9ad039,V10,023f557474b43481,aberdare forest reserve,chitehi,0,21
12768,7f649de5fe9ad039,V2,b40b7356324ffdd9,aberdare forest reserve,chitohi,0,22
14623,948483ce1066bf69,V5,545d4e31f19fddaa,aberdare forest reserve,gibb,0,23
12767,7f649de5fe9ad039,V1,008689ae0ad162ad,aberdare forest reserve,gitahi,0,22
12769,7f649de5fe9ad039,V9,630c78ad6456969f,aberdare forest reserve,satima farm,0,19
14625,948483ce1066bf69,V8,b70a7c76602a67fe,aberdare forest reserve,slains,0,21
3435,1b98ab2dbbfdccb8,V7,87fd9d79a2b44cad,aberdare royal national park,general hickmans farm,0,18
3432,1b98ab2dbbfdccb8,V4,acc03e060e170a0f,aberdare royal national park,githinguri,0,25
3431,1b98ab2dbbfdccb8,V2,7763851105219037,aberdare royal national park,githunguri,0,25
3434,1b98ab2dbbfdccb8,V6,5ff77c1ac4a4cece,aberdare royal national park,hickman,0,26
15884,a400b1be930557a8,V10,4c6d2799b1c4cc3c,aberdarea,barton,0,7
14099,8f8d9539442c7a2b,V3,b54a8aa0e0f0e6cc,aberdarea,forest boundar,0,12
18079,c0824163533e5064,V2,40899c30a1a1959d,aberdarea,forest boundary loc 13,0,18
11582,72949471e113937e,V7,25b38c64ce366ad4,aberdarea,gadhera sublocation,0,15
59,00443b98d468911e,V1,9c6761efbd64aef1,aberdarea,gataroini,0,8
11583,72949471e113937e,V9,95db6ed0373e44f9,aberdarea,gathera,0,7
19802,dbe486ccb490b678,V2,df75519dc9b034dd,aberdarea,gatheru,0,8
5672,318000906db6fb73,V10,8637261335330267,aberdarea,gikururu,0,8
18378,c49c3ab031ee2214,V2,4fa6bf324071a10a,aberdarea,gitugi,0,9
19805,dbe486ccb490b678,V10,b5f748a20ea36f22,aberdarea,gurafalls,0,8
17704,bb4bfd9c74c5a129,V3,90986ba736ffd925,aberdarea,honi,0,9
20840,edf8c00218fa93db,V5,192bd9231acb1b48,aberdarea,huguini road,0,10
18381,c49c3ab031ee2214,V6,5eba83ef5d185e63,aberdarea,ihuririo,0,7
60,00443b98d468911e,V5,d05c5832062ed081,aberdarea,kabage forest,0,8
15882,a400b1be930557a8,V8,0ef378e961e3dfc5,aberdarea,kabage forest nyeri,0,14
61,00443b98d468911e,V7,c5f1090a8421b918,aberdarea,kabago forest,0,9
11580,72949471e113937e,V4,f888a834ee72c2e9,aberdarea,kagicha,0,8
18382,c49c3ab031ee2214,V8,89bcad8f075cdfac,aberdarea,kagumo road,0,8
11579,72949471e113937e,V1,4c9c21800414380d,aberdarea,kairo,0,8
15883,a400b1be930557a8,V9,3b04013b474fc35a,aberdarea,kanjora,0,7
18084,c0824163533e5064,V10,d5621caf69f79eb3,aberdarea,karianini,0,8
14100,8f8d9539442c7a2b,V4,619c4112634785b3,aberdarea,karumuru,0,8
14104,8f8d9539442c7a2b,V8,c31b3063a76eaee9,aberdarea,karurumbu,0,8
20841,edf8c00218fa93db,V9,357ec35e37131c87,aberdarea,kathuta village,0,12
18082,c0824163533e5064,V5,2109ea03af2a8e79,aberdarea,kiamuturi forest guard post,0,22
18083,c0824163533e5064,V8,093c7ec2d812fe81,aberdarea,kiamuturiforestguardpost,0,19
11581,72949471e113937e,V6,48748cb91dfe98a2,aberdarea,kiruri,0,7
18379,c49c3ab031ee2214,V3,be3aa545143a3d6d,aberdarea,mahiga area,0,6
19803,dbe486ccb490b678,V4,ee256fc0309de182,aberdarea,mazuri hill,0,9
18380,c49c3ab031ee2214,V4,e1836c12529ae3c1,aberdarea,mosettis gorge,0,12
15881,a400b1be930557a8,V7,10fbea99a9e77c71,aberdarea,muchenage school,0,14
17702,bb4bfd9c74c5a129,V1,6687666cb57338a8,aberdarea,nicholas farm,0,11
15879,a400b1be930557a8,V1,b88c35c40cc9f97f,aberdarea,njoguini,0,9
15880,a400b1be930557a8,V2,c6269fddf92ab3ea,aberdarea,north kabage road,0,13
63,00443b98d468911e,V10,2559b02d4cf8b752,aberdarea,nyeri forest,0,8
18078,c0824163533e5064,V1,0ca0b341258a33d8,aberdarea,op epson,0,9
14103,8f8d9539442c7a2b,V7,6dec2db17058464e,aberdarea,prohibited area,0,9
19804,dbe486ccb490b678,V5,a00805656b030b90,aberdarea,romorrya,0,7
17706,bb4bfd9c74c5a129,V6,610727c8ffaf640c,aberdarea,ruhutie,0,8
17705,bb4bfd9c74c5a129,V5,c1dd669c298a192f,aberdarea,ruhutii,0,9
14106,8f8d9539442c7a2b,V10,ec6fb4adf19965d4,aberdarea,rwathia road,0,9
14105,8f8d9539442c7a2b,V9,27d63fb5c5233a6d,aberdarea,rwathia road loc 12,0,16
20842,edf8c00218fa93db,V10,34401770ec447247,aberdarea,snr,0,8
14101,8f8d9539442c7a2b,V5,2cc41e06c6e4aacb,aberdarea,south kinangop,0,13
18080,c0824163533e5064,V3,5bac95772cda7cab,aberdarea,tohanara,0,6
14097,8f8d9539442c7a2b,V1,d04e4307666211b6,aberdarea,tuthe,0,8
14098,8f8d9539442c7a2b,V2,5669695d9f31898c,aberdarea,tutho,0,9
14102,8f8d9539442c7a2b,V6,100cdf7c8ef40a54,aberdarea,tuthu,0,9
17703,bb4bfd9c74c5a129,V2,1ca085025d291548,aberdarea,wileys labour lines,0,15
62,00443b98d468911e,V8,e2726fcb488a2d35,aberdarea,zaina,0,7
17379,b79b14519132d16e,V4,ec4f5b073f58727e,aberdares,augeraud,0,6
21484,f81283e23a03d9ba,V5,cbb194d3eaa6892a,aberdares,bamboo hill,0,9
21485,f81283e23a03d9ba,V8,837a1fefd9ecb9c8,aberdares,bamboohill,0,9
19972,df2f0a209287d9f0,V7,4c6d2799b1c4cc3c,aberdares,barton,0,7
14389,9209b28ef590ca89,V1,1e60a5c59d4b69a7,aberdares,blain,0,7
796,0697e4ab5b6dc94b,V4,0cf3abeff77ca834,aberdares,chebuswa,0,8
15671,a1583da1ebe7ba35,V3,1e8d5d99d417cad5,aberdares,chinga road,0,9
15670,a1583da1ebe7ba35,V2,2b42393e62fd9242,aberdares,chingaroad,0,8
13631,8a6ee6232412a165,V5,2c2874b3089407f1,aberdares,cowan,0,8
13632,8a6ee6232412a165,V6,2bbef62623ece1ea,aberdares,cowen,0,8
13629,8a6ee6232412a165,V3,96621b67fd0f8d09,aberdares,de wat,0,7
13628,8a6ee6232412a165,V2,7aa032a8ce3e9475,aberdares,de wet,0,7
9548,5b37b21b00a03a0e,V7,d28d9ca4fc18f12f,aberdares,eland hill,0,9
13634,8a6ee6232412a165,V8,bab2b48f8ce7e806,aberdares,eland hill road,0,13
797,0697e4ab5b6dc94b,V5,c4a61ff3a5ad97bc,aberdares,elandhillroad,0,11
798,0697e4ab5b6dc94b,V6,7e5a17b40294f73c,aberdares,elliots camp,0,12
795,0697e4ab5b6dc94b,V3,d2b919b6c6bbe1e7,aberdares,elliotscamp,0,11
17626,ba94ec059fd232d1,V3,b54a8aa0e0f0e6cc,aberdares,forest boundar,0,12
3336,1ac4e8529529ebfd,V8,933f9e47fe5bcfc6,aberdares,fort hall forest,0,12
16326,a91d96f38a50db54,V8,30428686f89c491f,aberdares,gakanga,0,8
4196,226884313f8830ff,V10,133a28bdd4540730,aberdares,gatare,0,6
3335,1ac4e8529529ebfd,V3,3fde65f8149794bf,aberdares,gatare forest station,0,16
3337,1ac4e8529529ebfd,V10,fd2deddd5d368e46,aberdares,gatareforeststation,0,14
16544,ac17803addf36368,V1,9c6761efbd64aef1,aberdares,gataroini,0,8
3631,1d55271e5cbd442a,V8,681758c529d7de9a,aberdares,gathuga,0,8
21296,f5043ae12101c0e5,V10,8637261335330267,aberdares,gikururu,0,8
15481,9e589ff63eb1cb64,V4,4fa6bf324071a10a,aberdares,gitugi,0,9
3629,1d55271e5cbd442a,V1,d8c93c18cfc228a2,aberdares,ichichi,0,9
17058,b3c62a2d8a3ed6ed,V6,5eba83ef5d185e63,aberdares,ihuririo,0,7
3334,1ac4e8529529ebfd,V1,f5b2227751ea35c8,aberdares,irati,0,7
6930,3eb834b9f903f761,V2,b2313d9e072d9073,aberdares,irati valley,0,9
19973,df2f0a209287d9f0,V10,cea35ce3a4c1912c,aberdares,kabage,0,6
16545,ac17803addf36368,V5,dd0c73e1fe4c3f91,aberdares,kabage forest,0,7
16546,ac17803addf36368,V6,c5f1090a8421b918,aberdares,kabago forest,0,8
15483,9e589ff63eb1cb64,V6,89bcad8f075cdfac,aberdares,kagumo road,0,9
19971,df2f0a209287d9f0,V6,3b04013b474fc35a,aberdares,kanjora,0,8
19970,df2f0a209287d9f0,V3,da77932f75158d54,aberdares,kanyinya,0,9
1324,0b0f723704f1b70f,V3,a4a12a83f6edade5,aberdares,karagoini,0,9
794,0697e4ab5b6dc94b,V1,3a76eb87c4e72042,aberdares,karandi,0,7
17627,ba94ec059fd232d1,V4,619c4112634785b3,aberdares,karumuru,0,8
17631,ba94ec059fd232d1,V8,c31b3063a76eaee9,aberdares,karurumbu,0,8
15479,9e589ff63eb1cb64,V2,357ec35e37131c87,aberdares,kathuta village,0,13
15672,a1583da1ebe7ba35,V6,95e45b71acc1f0a2,aberdares,kihuri,0,8
13224,84dcfba978415273,V6,acb597b7d73185ab,aberdares,kinale,0,7
13222,84dcfba978415273,V1,a55cb45ef8a5b57f,aberdares,kinari,0,7
5689,31a1eb35b7ad1805,V4,856a2b082fd99ef7,aberdares,kinyonaforestguardpost,0,17
5688,31a1eb35b7ad1805,V3,3015686b0fa15a73,aberdares,kinyonatrack,0,10
6929,3eb834b9f903f761,V1,78cd1814a4dbe6e8,aberdares,kinyoni,0,9
3630,1d55271e5cbd442a,V7,98d9689c297be498,aberdares,kiruriichichi road,0,16
13633,8a6ee6232412a165,V7,39fcd433b51ab3e0,aberdares,koortze,0,7
1329,0b0f723704f1b70f,V10,3755c6c9074a26f1,aberdares,laikipia forest,0,10
1328,0b0f723704f1b70f,V9,60c46afddcf69be3,aberdares,lewis,0,7
21783,fdc2f16f23ed848d,V3,e758de54e7bc34f6,aberdares,losowani,0,8
21784,fdc2f16f23ed848d,V4,3634ad81f42fa2d9,aberdares,losowani farm,0,11
15482,9e589ff63eb1cb64,V5,be3aa545143a3d6d,aberdares,mahiga area,0,7
13954,8e3a98edc6af24ce,V4,feef81649b557221,aberdares,mairo ikumi primary,0,16
1327,0b0f723704f1b70f,V7,cf30e386397836e9,aberdares,mairoinya,0,8
16325,a91d96f38a50db54,V5,745ea30f30437dd4,aberdares,makari,0,7
13953,8e3a98edc6af24ce,V3,0fea62ca46535533,aberdares,mawingosettlement,0,14
1325,0b0f723704f1b70f,V5,8342b1b158e820b4,aberdares,mcgill,0,9
1322,0b0f723704f1b70f,V1,e239962a2c5f5c6b,aberdares,meiklejohn,0,10
19969,df2f0a209287d9f0,V2,faf805b4743d9f2e,aberdares,miaguini,0,9
17381,b79b14519132d16e,V7,d49fe0e27a5a6d2b,aberdares,morgangrenvilles store,0,18
13951,8e3a98edc6af24ce,V1,4ef7d7166bb75745,aberdares,morijo,0,8
17056,b3c62a2d8a3ed6ed,V4,e1836c12529ae3c1,aberdares,mosettis gorge,0,12
15673,a1583da1ebe7ba35,V9,b8ecb762f4729b8b,aberdares,mucharage,0,8
